time,P,Temp,Voltage
0.258,-0.04,16.936,0
0.411,-0.06,16.936,0
0.566,-0.12,16.936,0
0.719,-0.07,17.0999,0
0.874,-0.07,17.0999,0
1.028,-0.06,17.0999,0
1.181,-0.12,17.0999,0
1.336,-0.05,17.0999,0
1.489,-0.15,16.936,0
1.644,-0.07,17.0999,0
1.798,-0.08,17.0999,0
1.951,-0.11,17.0999,0
2.106,-0.1,16.936,0
2.259,-0.06,17.0999,0
2.414,-0.02,16.936,0
2.568,-0.08,16.936,0
2.722,-0.11,16.936,0
2.876,-0.01,17.0999,0
3.03,-0.08,16.936,0
3.184,-0.17,16.936,0
3.338,-0.14,16.936,0
3.492,-0.08,17.0999,0
3.646,-0.09,17.0999,0
3.8,-0.1,17.0999,0
3.954,-0.07,17.0999,0
4.108,-0.05,17.0999,0
4.262,-0.11,17.0999,0
4.416,-0.1,17.0999,0
4.571,-0.05,16.936,0
4.724,-0.16,17.0999,0
4.878,-0.07,17.263,0
5.032,-0.1,16.936,0
5.186,-0.13,17.0999,0
5.341,-0.12,16.936,0
5.494,-0.08,17.0999,0
5.649,-0.09,17.0999,0
5.803,-0.06,17.0999,0
5.956,-0.07,17.0999,0
6.111,-0.05,17.0999,0
6.264,-0.07,17.0999,0
6.419,-0.13,16.936,0
6.573,-0.11,17.0999,0
6.726,-0.09,16.936,0
6.881,-0.07,16.936,0
7.034,-0.06,17.0999,0
7.189,-0.13,17.0999,0
7.343,-0.09,17.0999,0
7.497,-0.04,16.936,0
7.651,-0.12,17.0999,0
7.804,-0.12,17.0999,0
7.959,-0.12,16.936,0
8.113,-0.15,17.0999,0
8.267,-0.06,16.936,0
8.421,-0.04,17.0999,0
8.574,0.04,17.0999,0
8.729,2.68,17.0999,0
8.883,6.97,16.936,0
9.037,9.2,16.936,0
9.191,12.31,16.936,0
9.346,14.15,17.0999,0
9.499,15.15,16.936,0
9.653,17.2,17.0999,0
9.807,17.95,17.0999,0
9.961,18.53,16.936,0
10.116,18.71,16.936,0
10.269,19.31,16.936,0
10.424,19.35,16.936,0
10.577,19.16,16.936,0
10.732,19.55,16.936,0
10.886,19.11,16.936,0
11.04,19.93,17.0999,0
11.194,20.29,17.0999,0
11.348,19.49,16.936,0
11.502,20.2,16.936,0
11.657,19.98,16.936,0
11.811,19.66,16.936,0
11.965,20.25,16.936,0
12.12,20.17,16.936,0
12.273,19.86,16.936,0
12.428,20.39,16.936,0
12.581,19.38,16.936,0
12.736,20.74,16.936,0
12.89,20.27,16.936,0
13.044,19.7,16.936,0
13.198,19.33,16.936,0
13.352,19.68,16.936,0
13.506,19.61,16.936,0
13.661,19.42,16.936,0
13.814,19.2,16.936,0
13.969,19.51,16.936,0
14.123,19.88,16.936,0
14.277,19.59,16.936,0
14.431,19.68,16.936,0
14.585,19.56,16.936,0
14.739,19.95,16.936,0
14.894,19.77,16.936,0
15.047,19.59,16.936,0
15.202,19.98,16.936,0
15.355,19.94,16.936,0
15.51,19.71,16.7714,0
15.664,20.11,16.936,0
15.818,18.9,16.936,0
15.972,19.86,16.936,0
16.126,20.27,16.7714,0
16.28,19.58,16.7714,0
16.435,19.8,16.936,0
16.588,19.23,16.936,0
16.743,19.12,16.936,0
16.897,20.07,16.7714,0
17.051,19.48,16.7714,0
17.205,19.57,16.936,0
17.359,19.73,16.936,0
17.513,19.85,16.936,0
17.668,20.07,16.936,0
17.821,19.74,16.7714,0
17.976,19.44,16.7714,0
18.129,19.78,16.936,0
18.284,19.83,16.7714,0
18.438,19.21,16.7714,0
18.592,19.77,16.7714,0
18.746,20.31,16.7714,0
18.9,20.03,16.7714,0
19.054,19.73,16.7714,0
19.209,19.55,16.936,0
19.362,20,16.936,0
19.517,19.88,16.936,0
19.671,20.05,16.7714,0
19.825,20.13,16.7714,0
19.979,19.95,16.7714,0
20.133,19.39,16.936,0
20.287,19.44,16.936,0
20.442,19.93,16.7714,0
20.595,19.44,16.7714,0
20.75,19.44,16.7714,0
20.903,19.55,16.7714,0
21.058,20.15,16.936,0
21.212,19.24,16.7714,0
21.366,19.64,16.7714,0
21.52,19.86,16.6061,0
21.675,19.67,16.7714,0
21.828,19.51,16.6061,0
21.983,19.12,16.936,0
22.136,19.26,16.7714,0
22.291,19.51,16.7714,0
22.445,19.56,16.7714,0
22.599,19.19,16.7714,0
22.753,19.59,16.7714,0
22.907,19.17,16.936,0
23.061,19.04,16.936,0
23.216,19.42,16.936,0
23.369,19.25,16.7714,0
23.524,19.53,16.7714,0
23.677,19.72,16.7714,0
23.832,19.03,16.7714,0
23.986,20.03,16.6061,0
24.14,19.38,16.7714,0
24.294,19.59,16.7714,0
24.449,19.03,16.7714,0
24.602,19.21,16.7714,0
24.757,18.92,16.7714,0
24.91,19.62,16.7714,0
25.065,19.48,16.7714,0
25.219,19.67,16.7714,0
25.373,19.92,16.7714,0
25.527,19.46,16.936,0
25.681,19.45,16.7714,0
25.835,19.22,16.7714,0
25.99,19.37,16.936,0
26.143,19.02,16.7714,0
26.298,19.99,16.7714,0
26.451,19.16,16.7714,0
26.606,19.54,16.7714,0
26.76,19.4,16.936,0
26.914,19.81,16.7714,0
27.068,19.66,16.7714,0
27.223,19.73,16.7714,0
27.376,19.87,16.7714,0
27.531,19.29,16.7714,0
27.684,19.18,16.7714,0
27.839,20.11,16.7714,0
27.993,19.06,16.936,0
28.147,19.41,16.7714,0
28.301,19.85,16.7714,0
28.455,19.66,16.7714,0
28.609,19.47,16.7714,0
28.764,19.74,16.7714,0
28.917,19.54,16.7714,0
29.072,19.67,16.936,0
29.225,19.58,16.7714,0
29.38,19.17,16.7714,0
29.534,19.03,16.7714,0
29.688,20.05,16.936,0
29.842,19.78,16.7714,0
29.997,19.82,16.936,0
30.15,19.11,16.7714,0
30.305,20.29,16.7714,0
30.458,19.37,16.7714,0
30.613,19.36,16.6061,0
30.767,19.43,16.7714,0
30.921,19.12,16.936,0
31.075,19.94,16.7714,0
31.229,19.07,16.7714,0
31.383,19.67,16.7714,0
31.538,19.69,16.7714,0
31.691,19.33,16.936,0
31.846,19.67,16.7714,0
32,20,16.7714,0
32.154,19.2,16.7714,0
32.308,19.57,16.7714,0
32.462,20.42,16.7714,0
32.616,19.16,16.7714,0
32.771,19.65,16.7714,0
32.924,19.71,16.7714,0
33.079,19.36,16.7714,0
33.232,19.72,16.936,1.80176
33.387,19.4,16.936,1.80176
33.541,18.89,16.936,1.80176
33.695,19.1,16.936,1.80176
33.85,19.38,16.7714,1.80664
