time,P,Temp,Voltage
0.258,-0.07,18.6996,0
0.411,0.02,18.6996,0
0.566,-0.09,18.8559,0
0.719,-0.03,18.6996,0
0.874,-0.01,18.8559,0
1.028,-0.01,18.8559,0
1.181,0.01,18.6996,0
1.336,-0.11,18.8559,0
1.489,-0.03,18.6996,0
1.644,-0.06,18.8559,0
1.798,-0.1,18.8559,0
1.951,-0.04,18.6996,0
2.106,-0.09,18.6996,0
2.259,-0.03,18.8559,0
2.414,-0.1,18.8559,0
2.568,-0.01,18.8559,0
2.722,-0.11,18.6996,0
2.876,-0.04,18.8559,0
3.03,0.02,18.6996,0
3.184,-0,18.6996,0
3.338,-0.08,18.8559,0
3.492,-0.01,18.8559,0
3.646,0.02,18.8559,0
3.8,-0.05,18.8559,0
3.954,-0.07,18.6996,0
4.108,-0.03,18.8559,0
4.262,-0.1,18.8559,0
4.416,-0.08,18.8559,0
4.57,-0.12,18.8559,0
4.724,-0.04,18.8559,0
4.878,-0.01,18.6996,0
5.032,-0.03,18.8559,0
5.186,-0.05,18.8559,0
5.341,-0.05,18.6996,0
5.494,-0.06,18.8559,0
5.648,-0.02,18.8559,0
5.803,-0.01,18.8559,0
5.956,0.02,18.8559,0
6.111,-0.04,18.8559,0
6.264,-0.06,18.8559,0
6.418,-0.09,18.8559,0
6.573,-0,18.8559,0
6.726,-0.01,18.8559,0
6.881,-0.03,18.6996,0
7.034,-0.03,18.8559,0
7.188,-0.02,18.6996,0
7.343,-0.05,18.8559,0
7.496,-0.05,18.6996,0
7.651,-0.02,18.6996,0
7.804,-0.06,18.8559,0
7.958,-0.04,18.8559,0
8.113,-0.03,18.8559,0
8.266,-0.08,18.8559,0
8.421,-0.03,18.8559,0
8.574,-0.01,18.8559,0
8.729,-0.01,18.8559,0
8.883,-0.01,18.8559,0
9.036,-0.04,18.8559,0
9.191,-0.02,18.8559,0
9.345,-0.08,18.8559,0
9.499,0.03,18.6996,0
9.653,-0.07,18.8559,0
9.806,-0.04,18.8559,0
9.961,-0.06,18.8559,0
10.115,-0.08,18.8559,0
10.269,-0.04,18.8559,0
10.423,-0.04,18.8559,0
10.577,-0.01,18.8559,0
10.731,0,18.8559,0
10.886,0.03,18.8559,0
11.039,-0.01,18.8559,0
11.193,0.04,18.8559,0
11.347,0.02,18.8559,0
11.501,-0.03,18.8559,0
11.656,-0.05,18.6996,0
11.809,-0.04,18.8559,0
11.964,0.02,18.8559,0
12.118,-0.04,18.8559,0
12.272,0.02,18.8559,0
12.426,-0.02,18.8559,0
12.58,-0.03,18.8559,0
12.734,-0.05,18.8559,0
12.888,-0.04,18.8559,0
13.042,-0.01,18.8559,0
13.196,0.01,19.0115,0
13.35,-0.03,18.8559,0
13.504,0,19.0115,0
13.659,0.05,18.8559,0
13.812,-0.02,18.8559,0
13.967,-0.05,18.8559,0
14.12,-0.03,18.8559,0
14.274,0.02,18.8559,0
14.429,-0.03,18.8559,0
14.582,-0.02,18.8559,0
14.737,-0.01,18.8559,0
14.891,-0.05,18.8559,0
15.045,-0.04,18.8559,0
15.199,-0.03,18.8559,0
15.353,0.02,18.8559,0
15.507,0.03,18.8559,0
15.662,-0.1,18.8559,0
15.815,-0.05,18.8559,0
15.97,0.02,19.0115,0
16.123,0.01,18.8559,0
16.277,-0.04,18.8559,0
16.432,-0.08,18.8559,0
16.585,0.01,19.0115,0
16.74,-0.08,18.8559,0
16.893,0.03,18.8559,0
17.048,-0.01,18.8559,0
17.202,-0.05,18.8559,0
17.356,0.03,18.8559,0
17.51,-0.04,18.8559,0
17.665,-0.05,18.8559,0
17.818,-0.03,19.0115,0
17.972,-0.07,18.8559,0
18.126,-0,18.8559,0
18.28,-0.07,18.8559,0
18.435,-0.04,18.8559,0
18.588,-0.03,18.8559,0
18.743,0.01,18.8559,0
18.896,0.05,18.8559,0
19.051,0.04,18.8559,0
19.205,0,18.8559,0
19.358,-0.07,18.8559,0
19.513,-0.08,18.8559,0
19.666,0.02,19.0115,0
19.821,-0.01,18.8559,0
19.975,0.01,19.0115,0
20.129,-0.02,18.8559,0
20.283,-0.04,18.8559,0
20.438,-0.08,19.0115,0
20.591,-0.03,19.0115,0
20.746,-0.05,19.0115,0
20.899,0.02,19.0115,0
21.053,-0.05,18.8559,0
21.208,-0.05,18.8559,0
21.361,-0.02,19.0115,0
21.516,0.02,19.0115,0
21.669,-0.01,18.8559,0
21.824,-0.06,18.8559,0
21.978,-0.05,18.8559,0
22.132,-0.02,18.8559,0
22.286,-0.03,18.8559,0
22.44,-0.09,18.8559,0
22.594,-0.03,18.8559,0
22.749,-0.07,18.8559,0
22.902,0.02,18.8559,0
23.056,-0.01,19.0115,0
23.211,0.03,19.0115,0
23.364,-0.05,18.8559,0
23.519,-0.04,18.8559,0
23.672,0.03,18.8559,0
23.827,0.01,18.8559,0
23.981,0.01,18.8559,0
24.135,-0.08,18.8559,0
24.289,-0.01,18.8559,0
24.443,0.01,18.8559,0
24.597,-0.05,18.8559,0
24.751,-0.02,19.0115,0
24.905,-0.01,18.8559,0
25.059,-0.04,18.8559,0
25.213,-0.02,18.8559,0
25.367,-0.08,18.8559,0
25.522,-0.05,19.0115,0
25.675,-0.03,18.8559,0
25.83,-0.11,18.8559,0
25.984,-0.04,18.8559,0
26.138,0.01,19.0115,0
26.292,-0.04,18.8559,0
26.445,-0.08,18.8559,0
26.6,-0.07,19.0115,0
26.754,-0.09,18.8559,0
26.908,-0.1,18.8559,0
27.062,0,18.8559,0
27.216,0.01,18.8559,0
27.37,-0.01,18.8559,0
27.525,-0.09,18.8559,0
27.678,0.02,18.8559,0
27.833,0.04,18.8559,0
27.986,2.05,18.8559,0
28.14,6.32,18.8559,0
28.295,8.16,19.0115,0
28.448,10.65,18.8559,0
28.603,12.8,18.8559,0
28.756,14.56,19.0115,0
28.911,15.79,18.8559,0
29.065,16.62,18.8559,0
29.219,17.66,18.8559,0
29.373,18.8,19.0115,0
29.528,18.83,18.8559,0
29.681,18.96,18.8559,0
29.836,20.13,18.8559,0
29.989,19.03,18.8559,0
30.144,19.44,19.0115,0
30.298,19.59,18.8559,0
30.452,20.36,18.8559,0
30.606,19.64,18.8559,0
30.76,19.03,18.8559,0
30.915,19.8,19.0115,0
31.069,19.44,18.8559,0
31.223,19.6,18.8559,0
31.377,20.45,18.8559,0
31.532,20.13,18.8559,0
31.685,20.09,18.8559,0
31.84,19.42,18.8559,0
31.993,19.49,18.8559,0
32.148,19.82,18.8559,0
32.302,20.18,18.8559,0
32.456,19.88,18.8559,0
32.61,20.2,18.8559,0
32.764,19.95,18.8559,0
32.918,20.58,18.8559,0
33.073,19.42,18.6996,0
33.226,20.09,18.8559,0
33.381,19.82,18.6996,0
33.534,19.85,18.8559,0
33.689,20.04,18.8559,0
33.843,19.48,18.8559,0
33.997,20.69,18.8559,0
34.151,20.21,19.0115,0
34.306,20.41,18.8559,0
34.459,19.95,18.8559,0
34.614,19.74,18.8559,0
34.767,19.88,18.8559,0
34.922,19.35,18.8559,0
35.076,19.64,18.8559,0
